Date,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
5/5/20,0,0,0,0,0,0,0,0,0
5/6/20,0,0,0,0,0,0,0,0,0
5/7/20,0,0,0,0,0,0,0,0,0
5/8/20,0,21,3,1,71,33,69,11,3
5/9/20,0,20,4,1,68,32,66,14,5
5/10/20,0,18,4,2,66,29,66,14,5
5/11/20,0,20,3,1,63,31,59,13,5
5/12/20,0,17,3,1,63,30,55,15,6
5/13/20,0,20,3,1,57,34,58,16,5
5/14/20,0,20,3,1,56,32,51,15,5
5/15/20,0,19,2,1,56,30,48,14,5
5/16/20,0,16,1,1,44,31,51,14,5
5/17/20,0,16,1,1,40,32,44,17,5
5/18/20,87,19,4,1,46,41,46,16,0
